,player,team,age,position,Mins,Passing Accuracy,,league,season
622,Ayoze Pérez,Real Betis,30,"AM(CLR),FW",2309,79.7,,ESP-La Liga,2324
623,Aurélien Tchouaméni,Real Madrid,24,"D(C),DMC",1987,92,,ESP-La Liga,2324
624,Viktor Tsyhankov,Girona,26,M(CLR),2067,83.1,,ESP-La Liga,2324
625,Raphinha,Barcelona,27,"AM(LR),FW",1373,80.9,,ESP-La Liga,2324
626,Eduardo Camavinga,Real Madrid,21,"D(L),DMC",1826,91.3,,ESP-La Liga,2324
627,Pablo Fornals,Real Betis,28,M(CLR),1155,78.3,,ESP-La Liga,2324
628,Álex Baena,Villarreal,22,"AM(CL),FW",2599,78.5,,ESP-La Liga,2324
629,Iván Cuéllar,Mallorca,40,GK,90,59.3,,ESP-La Liga,2324
630,Juan Foyth,Villarreal,26,"D(CR),DMC",1062,82.8,,ESP-La Liga,2324
631,Ivan Rakitic,Sevilla,36,M(CL),1426,81.3,,ESP-La Liga,2324
632,Borja Mayoral,Getafe,27,"AM(R),FW",2165,77.7,,ESP-La Liga,2324
633,Jesús Owono,Deportivo Alaves,23,GK,360,61.8,,ESP-La Liga,2324
634,Andrii Lunin,Real Madrid,25,GK,1890,85.2,,ESP-La Liga,2324
635,Lucas Ocampos,Sevilla,29,"M(CLR),FW",2887,73.6,,ESP-La Liga,2324
636,Yerson Mosquera,Villarreal,23,D(C),1229,86,,ESP-La Liga,2324
637,Dani Carvajal,Real Madrid,32,D(R),2177,87.3,,ESP-La Liga,2324
638,Paulo Gazzaniga,Girona,32,GK,3420,75.9,,ESP-La Liga,2324
639,Samuel Lino,Atletico,24,"D(L),M(LR),FW",2092,83.3,,ESP-La Liga,2324
640,Loïc Badé,Sevilla,24,D(C),2284,83,,ESP-La Liga,2324
641,Bryan Zaragoza,Granada,22,AM(LR),1640,65.6,,ESP-La Liga,2324
642,Brais Méndez,Real Sociedad,27,"AM(CR),FW",2422,81,,ESP-La Liga,2324
643,Luka Modric,Real Madrid,38,M(C),1688,91.1,,ESP-La Liga,2324
644,Eric García,Girona,23,D(CR),2641,90.2,,ESP-La Liga,2324
645,Martín Zubimendi,Real Sociedad,25,DMC,2655,86.4,,ESP-La Liga,2324
646,Pedri,Barcelona,21,AM(CL),1476,87.8,,ESP-La Liga,2324
647,Mason Greenwood,Getafe,22,"AM(LR),FW",2668,81.8,,ESP-La Liga,2324
648,Jules Koundé,Barcelona,25,D(CR),2899,90.8,,ESP-La Liga,2324
649,Sergi Cardona,Las Palmas,24,D(L),2816,82.5,,ESP-La Liga,2324
650,Álvaro Morata,Atletico,31,"AM(L),FW",1912,70.7,,ESP-La Liga,2324
651,João Félix,Barcelona,24,"AM(CL),FW",1544,83.7,,ESP-La Liga,2324
652,Marc Pubill,Almeria,21,D(R),1889,76.7,,ESP-La Liga,2324
653,Vedat Muriqi,Mallorca,30,FW,2330,64,,ESP-La Liga,2324
654,Carlos Vicente,Deportivo Alaves,25,AM(R),1121,63.8,,ESP-La Liga,2324
655,Lucas Vázquez,Real Madrid,32,"D(R),M(R)",1412,88.5,,ESP-La Liga,2324
656,Youssef En-Nesyri,Sevilla,27,FW,2576,65,,ESP-La Liga,2324
657,Yeremy Pino,Villarreal,21,AM(LR),481,82.9,,ESP-La Liga,2324
658,Álvaro Vallés,Las Palmas,26,GK,3264,78.8,,ESP-La Liga,2324
659,Miguel Gutiérrez,Girona,22,"D(L),M(L)",3037,88.4,,ESP-La Liga,2324
660,Yuri Berchiche,Athletic Club,34,"D(L),M(L)",1934,83.6,,ESP-La Liga,2324
661,Isaac Romero,Sevilla,24,FW,1050,75.5,,ESP-La Liga,2324
662,Cristian Rivero,Valencia,26,Goalkeeper,56,64.3,,ESP-La Liga,2324
663,Jørgen Strand Larsen,Celta Vigo,24,FW,2889,70.1,,ESP-La Liga,2324
664,Claudio Bravo,Real Betis,41,GK,630,78.4,,ESP-La Liga,2324
665,Diego Rico,Getafe,31,"D(CL),M(L)",2538,67.4,,ESP-La Liga,2324
666,Germán Pezzella,Real Betis,32,D(C),2771,86,,ESP-La Liga,2324
667,Marc-André ter Stegen,Barcelona,32,GK,2520,88.4,,ESP-La Liga,2324
668,Óscar De Marcos,Athletic Club,35,"D(LR),M(CR)",2263,83,,ESP-La Liga,2324
669,Guido Rodríguez,Real Betis,30,DMC,1852,85.9,,ESP-La Liga,2324
670,Lucas Robertone,Almeria,27,M(C),2392,84.5,,ESP-La Liga,2324
671,Renato Tapia,Celta Vigo,28,"D(C),DMC",1338,76.6,,ESP-La Liga,2324
672,Daley Blind,Girona,34,"D(CL),DMC,M(L)",2972,90.3,,ESP-La Liga,2324
673,Pablo Barrios,Atletico,21,M(C),1559,85.9,,ESP-La Liga,2324
674,Giorgi Mamardashvili,Valencia,23,GK,3289,46.9,,ESP-La Liga,2324
675,Unai Simón,Athletic Club,27,GK,3184,54.4,,ESP-La Liga,2324
676,Iván Martín,Girona,25,M(CR),2747,92.3,,ESP-La Liga,2324
677,Filip Jørgensen,Villarreal,22,GK,3240,78,,ESP-La Liga,2324
678,Hugo Álvarez,Celta Vigo,20,M(L),763,85.5,,ESP-La Liga,2324
679,Íñigo Ruíz de Galarreta,Athletic Club,30,DMC,2106,83.1,,ESP-La Liga,2324
680,Carl Starfelt,Celta Vigo,29,D(C),2221,87.9,,ESP-La Liga,2324
681,Rodrigo De Paul,Atletico,30,"AM(CLR),FW",2088,85.7,,ESP-La Liga,2324
682,Robin Le Normand,Real Sociedad,27,D(C),2473,88.6,,ESP-La Liga,2324
683,Aitor Ruibal,Real Betis,28,"D(R),M(LR)",1018,78.6,,ESP-La Liga,2324
684,Pau Cubarsí,Barcelona,17,D(C),1563,91.7,,ESP-La Liga,2324
685,Javi Galán,Real Sociedad,29,"D(L),M(L)",1076,82.2,,ESP-La Liga,2324
686,Jonathan Bamba,Celta Vigo,28,"AM(CLR),FW",1997,80.7,,ESP-La Liga,2324
687,Lucas Boyé,Granada,28,"AM(L),FW",2555,73.7,,ESP-La Liga,2324
688,Luiz Henrique,Real Betis,23,"AM(LR),FW",612,74.6,,ESP-La Liga,2324
689,Ronald Araujo,Barcelona,25,D(CR),1996,89.6,,ESP-La Liga,2324
690,Sergi Roberto,Barcelona,32,"D(R),M(CR)",864,90.3,,ESP-La Liga,2324
691,David Gil,Cadiz,30,GK,371,48.6,,ESP-La Liga,2324
692,David Alaba,Real Madrid,32,"D(CL),M(CL)",1156,91.5,,ESP-La Liga,2324
693,Kepa,Real Madrid,29,GK,1197,82.5,,ESP-La Liga,2324
694,Nemanja Maksimovic,Getafe,29,M(C),3272,82,,ESP-La Liga,2324
695,Ørjan Nyland,Sevilla,33,GK,2160,56.7,,ESP-La Liga,2324
696,Mario Hermoso,Atletico,29,D(CL),2558,87.1,,ESP-La Liga,2324
697,José Gayà,Valencia,29,"D(L),M(L)",1799,79.2,,ESP-La Liga,2324
698,Sergi Darder,Mallorca,30,M(CLR),2155,79.5,,ESP-La Liga,2324
699,Florian Lejeune,Rayo Vallecano,33,D(C),3328,81.3,,ESP-La Liga,2324
700,Unai Núñez,Celta Vigo,27,D(C),2802,79.9,,ESP-La Liga,2324
701,Jan Oblak,Atletico,31,GK,3420,70.9,,ESP-La Liga,2324
702,Kike Salas,Sevilla,22,D(C),1609,79.1,,ESP-La Liga,2324
703,Yan Couto,Girona,22,"D(R),M(R)",2246,82.6,,ESP-La Liga,2324
704,Nabil Fekir,Real Betis,30,"AM(CLR),FW",1050,84.1,,ESP-La Liga,2324
705,Kirian Rodríguez,Las Palmas,28,DMC,3217,89.5,,ESP-La Liga,2324
706,Álex Remiro,Real Sociedad,29,GK,3276,74.9,,ESP-La Liga,2324
707,Dani Parejo,Villarreal,35,M(C),2588,90.2,,ESP-La Liga,2324
708,Vicente Guaita,Celta Vigo,37,GK,2402,63.3,,ESP-La Liga,2324
709,Mouctar Diakhaby,Valencia,27,"D(C),DMC",1072,87.2,,ESP-La Liga,2324
710,Conan Ledesma,Cadiz,31,GK,3049,54.2,,ESP-La Liga,2324
711,Joselu,Real Madrid,34,FW,1676,73.6,,ESP-La Liga,2324
712,Hugo Duro,Valencia,24,"AM(L),FW",2998,72.3,,ESP-La Liga,2324
713,Ángel Correa,Atletico,29,"AM(CLR),FW",1528,79.5,,ESP-La Liga,2324
714,Axel Witsel,Atletico,35,"D(C),M(C)",2784,92.2,,ESP-La Liga,2324
715,Juan Miranda,Real Betis,24,D(L),1862,82.4,,ESP-La Liga,2324
716,Sergio Arribas,Almeria,22,AM(CR),2057,83.1,,ESP-La Liga,2324
717,Adri Embarba,Almeria,32,"AM(CLR),FW",2487,75.6,,ESP-La Liga,2324
718,Nemanja Gudelj,Sevilla,32,"D(C),M(C)",1744,86.5,,ESP-La Liga,2324
719,Reinildo,Atletico,30,"D(CL),M(L)",726,86.1,,ESP-La Liga,2324
720,David López,Girona,34,"D(C),DMC",1977,92.9,,ESP-La Liga,2324
721,Jonathan Viera,Las Palmas,34,"AM(CLR),FW",621,91.1,,ESP-La Liga,2324
722,Jorge Cuenca,Villarreal,24,D(CL),1963,84,,ESP-La Liga,2324
723,Rui Silva,Real Betis,30,GK,2476,66,,ESP-La Liga,2324
724,Luis Suárez,Almeria,26,"AM(L),FW",918,76.3,,ESP-La Liga,2324
725,Marcos Alonso,Barcelona,33,"D(CL),M(L)",251,89,,ESP-La Liga,2324
726,Rubén Alcaraz,Cadiz,33,DMC,3141,82.2,,ESP-La Liga,2324
727,David García,Osasuna,30,D(C),2336,83.1,,ESP-La Liga,2324
728,Matija Nastasic,Mallorca,31,D(C),2257,80,,ESP-La Liga,2324
729,Koke,Atletico,32,M(CLR),2504,90.9,,ESP-La Liga,2324
730,Luis Milla,Getafe,29,DMC,2124,84.1,,ESP-La Liga,2324
731,Bruno Méndez,Granada,24,D(CR),1337,72,,ESP-La Liga,2324
732,Isi Palazón,Rayo Vallecano,29,AM(CR),2810,74.9,,ESP-La Liga,2324
733,Thierry Correia,Valencia,25,"D(R),M(R)",2162,76.3,,ESP-La Liga,2324
734,Robert Navarro,Cadiz,22,AM(LR),1906,79.3,,ESP-La Liga,2324
735,Samú Costa,Mallorca,23,DMC,2307,77.8,,ESP-La Liga,2324
736,Jonathan Viera,Almeria,34,"AM(CLR),FW",923,86.9,,ESP-La Liga,2324
737,Jesús Areso,Osasuna,24,D(R),2663,80.6,,ESP-La Liga,2324
738,Antonio Rüdiger,Real Madrid,31,D(CLR),2708,90,,ESP-La Liga,2324
739,Gabriel Paulista,Atletico,33,D(CR),406,87.9,,ESP-La Liga,2324
740,Rubén Peña,Osasuna,32,"D(LR),M(LR),FW",2105,71.8,,ESP-La Liga,2324
741,Óscar Mingueza,Celta Vigo,25,"D(CR),M(R)",3004,80.9,,ESP-La Liga,2324
742,Chris Ramos,Cadiz,27,FW,2627,57.6,,ESP-La Liga,2324
743,Luis Rioja,Deportivo Alaves,30,AM(LR),2515,74.9,,ESP-La Liga,2324
744,Fermín López,Barcelona,21,AM(C),1446,85,,ESP-La Liga,2324
745,Marc Roca,Real Betis,27,"D(C),DMC",1988,85.5,,ESP-La Liga,2324
746,Andreas Christensen,Barcelona,28,"D(C),DMC",1999,94.3,,ESP-La Liga,2324
747,Marcos Llorente,Atletico,29,"D(R),M(CR),FW",2573,83.3,,ESP-La Liga,2324
748,Dani Vivian,Athletic Club,24,D(C),2879,84.4,,ESP-La Liga,2324
749,Óscar Valentín,Rayo Vallecano,29,DMC,2702,81.7,,ESP-La Liga,2324
750,Kieran Tierney,Real Sociedad,27,"D(CL),M(L)",1244,80.1,,ESP-La Liga,2324
751,Saúl Ñíguez,Atletico,29,"D(CL),M(CLR)",1365,82.1,,ESP-La Liga,2324
752,Momo Mbaye,Cadiz,25,D(C),286,56.6,,ESP-La Liga,2324
753,Predrag Rajkovic,Mallorca,28,GK,3240,55.1,,ESP-La Liga,2324
754,Julián Araujo,Las Palmas,22,"D(R),M(R)",1462,83.3,,ESP-La Liga,2324
755,Jaílson,Celta Vigo,28,"D(C),DMC",893,83.9,,ESP-La Liga,2324
756,Beñat Prados,Athletic Club,23,DMC,1452,83.4,,ESP-La Liga,2324
757,Aleksandar Radovanovic,Almeria,30,D(C),572,92.3,,ESP-La Liga,2324
758,Igor Zubeldia,Real Sociedad,27,"D(C),DMC",2524,85,,ESP-La Liga,2324
759,Marcos Acuña,Sevilla,32,"D(CL),M(CL)",1304,79.7,,ESP-La Liga,2324
760,Cristhian Mosquera,Valencia,19,D(C),3075,88.6,,ESP-La Liga,2324
761,Gonçalo Guedes,Villarreal,27,"AM(CLR),FW",951,81.1,,ESP-La Liga,2324
762,Oihan Sancet,Athletic Club,24,"M(C),FW",1993,82.8,,ESP-La Liga,2324
763,Rubén García,Osasuna,30,"AM(CLR),FW",1552,72.7,,ESP-La Liga,2324
764,Ferland Mendy,Real Madrid,29,"D(L),M(L)",1727,94.2,,ESP-La Liga,2324
765,Iker Muñoz,Osasuna,21,DMC,1855,76.2,,ESP-La Liga,2324
766,Dani Rodríguez,Mallorca,36,AM(CLR),2635,77.3,,ESP-La Liga,2324
767,Willian José,Real Betis,32,FW,1984,80.1,,ESP-La Liga,2324
768,Santi Comesaña,Villarreal,27,M(C),1656,87.3,,ESP-La Liga,2324
769,Augusto Batalla,Granada,28,GK,1530,60.3,,ESP-La Liga,2324
770,Aihen Muñoz,Real Sociedad,26,D(L),1120,77.3,,ESP-La Liga,2324
771,Mika Mármol,Las Palmas,22,D(C),3181,89,,ESP-La Liga,2324
772,André Almeida,Valencia,24,"M(C),FW",975,81.5,,ESP-La Liga,2324
773,Matteo Gabbia,Villarreal,24,D(C),479,89.6,,ESP-La Liga,2324
774,Diego López,Valencia,22,"AM(LR),FW",2672,69,,ESP-La Liga,2324
775,Luiz Felipe,Real Betis,27,D(C),360,90.4,,ESP-La Liga,2324
776,Mikel Vesga,Athletic Club,31,DMC,1537,78,,ESP-La Liga,2324
777,Alberto Moleiro,Las Palmas,20,AM(L),1811,81.8,,ESP-La Liga,2324
778,Jon Guridi,Deportivo Alaves,29,M(C),2697,79.6,,ESP-La Liga,2324
779,Sergio Herrera,Osasuna,31,GK,2870,61.9,,ESP-La Liga,2324
780,Antonio Sivera,Deportivo Alaves,27,GK,3060,54.7,,ESP-La Liga,2324
781,Jon Pacheco,Real Sociedad,23,D(C),1521,87.3,,ESP-La Liga,2324
782,Marcos Peña,Almeria,19,Midfielder,438,86.6,,ESP-La Liga,2324
783,Suso,Sevilla,30,"AM(CLR),FW",1516,85.3,,ESP-La Liga,2324
784,Pathé Ciss,Rayo Vallecano,30,DMC,1661,83.6,,ESP-La Liga,2324
785,Rubén Duarte,Deportivo Alaves,28,D(CL),1877,70.3,,ESP-La Liga,2324
786,Ander Herrera,Athletic Club,34,M(C),1023,86.6,,ESP-La Liga,2324
787,Hamari Traoré,Real Sociedad,32,"D(R),M(R)",2301,84.6,,ESP-La Liga,2324
788,Javi López,Deportivo Alaves,22,D(L),2387,72.4,,ESP-La Liga,2324
789,Nemanja Radonjic,Mallorca,28,"M(CLR),FW",350,72.9,,ESP-La Liga,2324
790,Álvaro García,Rayo Vallecano,31,AM(CL),2492,68.9,,ESP-La Liga,2324
791,Chadi Riad,Real Betis,21,D(C),2165,89.7,,ESP-La Liga,2324
792,Abdul Mumin,Rayo Vallecano,26,D(C),1695,80.2,,ESP-La Liga,2324
793,Juanlu Sánchez,Sevilla,20,D(R),1178,83.2,,ESP-La Liga,2324
794,Iñigo Martínez,Barcelona,33,D(C),1293,88.7,,ESP-La Liga,2324
795,Andoni Gorosabel,Deportivo Alaves,27,"D(R),M(R)",2865,82,,ESP-La Liga,2324
796,Julen Agirrezabala,Athletic Club,23,GK,236,58.8,,ESP-La Liga,2324
797,Álex Suárez,Las Palmas,31,D(CR),2569,87.4,,ESP-La Liga,2324
798,José Giménez,Atletico,29,D(CR),1325,86.5,,ESP-La Liga,2324
799,Mikel Oyarzabal,Real Sociedad,27,"AM(CLR),FW",2160,75.6,,ESP-La Liga,2324
800,Luís Maximiano,Almeria,25,GK,2970,62.1,,ESP-La Liga,2324
801,Íñigo Lekue,Athletic Club,31,"D(LR),M(LR)",2001,80.4,,ESP-La Liga,2324
802,Bertrand Traoré,Villarreal,28,"AM(R),FW",568,80.6,,ESP-La Liga,2324
803,Héctor Fort,Barcelona,17,Defender,322,88.2,,ESP-La Liga,2324
804,Alfonso Espino,Rayo Vallecano,32,D(L),2514,75.1,,ESP-La Liga,2324
805,David Soria,Getafe,31,GK,3414,48.4,,ESP-La Liga,2324
806,Fran García,Real Madrid,24,D(L),1397,88.8,,ESP-La Liga,2324
807,Carlos Benavídez,Deportivo Alaves,26,DMC,1122,70.5,,ESP-La Liga,2324
808,Adrià Pedrosa,Sevilla,26,"D(L),M(L)",1750,78.6,,ESP-La Liga,2324
809,Youssouf Sabaly,Real Betis,31,"D(LR),M(R)",1048,85.6,,ESP-La Liga,2324
810,Aritz Elustondo,Real Sociedad,30,D(CR),809,87.4,,ESP-La Liga,2324
811,Miguel Rubio,Granada,26,D(C),1561,80.3,,ESP-La Liga,2324
812,Ferran Torres,Barcelona,24,"AM(LR),FW",1203,80.4,,ESP-La Liga,2324
813,Moi Gómez,Osasuna,30,M(CLR),2012,83.8,,ESP-La Liga,2324
814,Stefan Savic,Atletico,33,D(C),1631,83.5,,ESP-La Liga,2324
815,Aleksandar Sedlar,Deportivo Alaves,32,D(C),949,84.9,,ESP-La Liga,2324
816,Juan Iglesias,Getafe,25,"D(LR),M(R)",1420,65.2,,ESP-La Liga,2324
817,Manu Sánchez,Celta Vigo,23,"D(L),M(L)",1776,76.5,,ESP-La Liga,2324
818,Ilias Akhomach,Villarreal,20,AM(R),1514,80.6,,ESP-La Liga,2324
819,Aitor Paredes,Athletic Club,24,D(C),2708,85.6,,ESP-La Liga,2324
820,Lucas Torró,Osasuna,29,DMC,1794,76.1,,ESP-La Liga,2324
821,Alejandro Balde,Barcelona,20,"D(LR),M(L)",1378,88.5,,ESP-La Liga,2324
822,Álex Sola,Deportivo Alaves,25,"D(R),M(R)",1261,71.8,,ESP-La Liga,2324
823,Gastón Álvarez,Getafe,24,D(CL),2538,76.2,,ESP-La Liga,2324
824,Yeray Álvarez,Athletic Club,29,D(C),1156,81.1,,ESP-La Liga,2324
825,Javi Hernández,Cadiz,26,D(CL),2518,73.9,,ESP-La Liga,2324
826,Giovanni González,Mallorca,29,D(CR),2466,77.2,,ESP-La Liga,2324
827,Ander Barrenetxea,Real Sociedad,22,M(LR),1440,72.5,,ESP-La Liga,2324
828,Stole Dimitrievski,Rayo Vallecano,30,GK,3330,55.4,,ESP-La Liga,2324
829,Boubakary Soumaré,Sevilla,25,DMC,2288,90.3,,ESP-La Liga,2324
830,Antonio Blanco,Deportivo Alaves,23,DMC,2437,77.9,,ESP-La Liga,2324
831,Sokratis Papastathopoulos,Real Betis,36,D(CR),1135,88.3,,ESP-La Liga,2324
832,Joseph Aidoo,Celta Vigo,28,D(C),407,78.5,,ESP-La Liga,2324
833,Copete,Mallorca,24,D(C),1339,78.1,,ESP-La Liga,2324
834,Érik Lamela,Sevilla,32,"AM(CLR),FW",459,86,,ESP-La Liga,2324
835,Nacho,Real Madrid,34,D(CLR),1741,92.5,,ESP-La Liga,2324
836,César Azpilicueta,Atletico,34,"D(CLR),M(R)",1423,86.1,,ESP-La Liga,2324
837,Sergi Canós,Valencia,27,M(LR),1236,69.2,,ESP-La Liga,2324
838,Javi Guerra,Valencia,21,DMC,2505,74.1,,ESP-La Liga,2324
839,Alex Berenguer,Athletic Club,28,"D(LR),M(CLR),FW",1582,73.2,,ESP-La Liga,2324
840,Marko Dmitrovic,Sevilla,32,GK,1170,68.7,,ESP-La Liga,2324
841,Jesús Navas,Sevilla,38,"D(R),M(R)",2012,78.4,,ESP-La Liga,2324
842,Pablo Maffeo,Mallorca,26,"D(LR),M(R)",1458,66.3,,ESP-La Liga,2324
843,Lucien Agoumé,Sevilla,22,DMC,778,83.5,,ESP-La Liga,2324
844,Martin Valjent,Mallorca,28,D(C),2355,81.5,,ESP-La Liga,2324
845,Dodi Lukébakio,Sevilla,26,"AM(CLR),FW",1127,84.2,,ESP-La Liga,2324
846,Sergio Ruiz,Granada,29,DMC,2504,85.1,,ESP-La Liga,2324
847,Rafa Marín,Deportivo Alaves,22,D(C),2441,82.8,,ESP-La Liga,2324
848,Anthony Lozano,Almeria,31,"AM(L),FW",778,74.8,,ESP-La Liga,2324
849,Éder Militão,Real Madrid,26,D(CR),497,90.8,,ESP-La Liga,2324
850,Rodrigo Riquelme,Atletico,24,"D(L),M(CL)",1527,79.3,,ESP-La Liga,2324
851,Enzo Loiodice,Las Palmas,23,DMC,1793,84.3,,ESP-La Liga,2324
852,Abdel Abqar,Deportivo Alaves,25,D(C),2316,72.9,,ESP-La Liga,2324
853,Sergio Akieme,Almeria,26,"D(L),M(L)",1676,79.8,,ESP-La Liga,2324
854,Bruno Langa,Almeria,26,"D(L),M(L)",819,76,,ESP-La Liga,2324
855,Léo Baptistão,Almeria,31,"AM(CLR),FW",1844,67.2,,ESP-La Liga,2324
856,Edgar González,Almeria,27,"D(C),DMC",2529,85.4,,ESP-La Liga,2324
857,Fali,Cadiz,30,"D(C),DMC",2552,77.3,,ESP-La Liga,2324
858,Sheraldo Becker,Real Sociedad,29,"AM(CLR),FW",774,75.9,,ESP-La Liga,2324
859,Unai López,Rayo Vallecano,28,M(CR),2127,84.3,,ESP-La Liga,2324
860,Dion Lopy,Almeria,22,DMC,1921,85,,ESP-La Liga,2324
861,Nacho Vidal,Mallorca,29,D(R),417,77.4,,ESP-La Liga,2324
862,Portu,Girona,32,"M(CLR),FW",1180,80.1,,ESP-La Liga,2324
863,Raúl Albiol,Villarreal,38,D(C),2036,86.3,,ESP-La Liga,2324
864,Alfonso Pedraza,Villarreal,28,"D(L),M(L)",1120,78.9,,ESP-La Liga,2324
865,Ignasi Miquel,Granada,31,D(C),2992,82,,ESP-La Liga,2324
866,Iván Balliu,Rayo Vallecano,32,"D(R),M(R)",2876,77,,ESP-La Liga,2324
867,Sandro Ramírez,Las Palmas,28,"AM(LR),FW",1818,82.5,,ESP-La Liga,2324
868,Héctor Bellerín,Real Betis,29,"D(R),M(R)",1715,79.9,,ESP-La Liga,2324
869,Gonzalo Villar,Granada,26,M(C),1790,84,,ESP-La Liga,2324
870,Victor Chust,Cadiz,24,D(C),1870,80.6,,ESP-La Liga,2324
871,Saúl Coco,Las Palmas,25,D(C),2295,88.9,,ESP-La Liga,2324
872,Aridane Hernández,Rayo Vallecano,35,D(C),1691,85.8,,ESP-La Liga,2324
873,Mihailo Ristic,Celta Vigo,28,"D(L),M(L)",809,74.8,,ESP-La Liga,2324
874,Gabriel Paulista,Valencia,33,D(CR),1401,86.1,,ESP-La Liga,2324
875,Kike García,Deportivo Alaves,34,FW,1424,68.4,,ESP-La Liga,2324
876,Damián Rodríguez,Celta Vigo,21,Midfielder,258,93.1,,ESP-La Liga,2324
877,Cristhian Stuani,Girona,37,"AM(CLR),FW",784,73.7,,ESP-La Liga,2324
878,Fernando,Sevilla,36,"D(C),DMC",461,87.3,,ESP-La Liga,2324
879,Nahuel Tenaglia,Deportivo Alaves,28,D(CR),1131,74.5,,ESP-La Liga,2324
880,Williot Swedberg,Celta Vigo,20,Midfielder,434,77.5,,ESP-La Liga,2324
881,Jorge Herrando,Osasuna,23,D(C),1644,79.9,,ESP-La Liga,2324
882,Nahuel Molina,Atletico,26,"D(R),M(R)",1860,76.9,,ESP-La Liga,2324
883,Francis Coquelin,Villarreal,33,M(CLR),912,88.1,,ESP-La Liga,2324
884,Enes Ünal,Getafe,27,FW,138,67.6,,ESP-La Liga,2324
885,Pablo Busto,Real Betis,18,Defender,42,76.2,,ESP-La Liga,2324
886,Ander Guevara,Deportivo Alaves,26,DMC,2937,76,,ESP-La Liga,2324
887,Arnau Martínez,Girona,21,D(R),1242,89.9,,ESP-La Liga,2324
888,Damián Suárez,Getafe,36,"D(R),M(R)",1307,70.8,,ESP-La Liga,2324
889,Aimar Oroz,Osasuna,22,AM(C),2351,82.2,,ESP-La Liga,2324
890,Juanmi Latasa,Getafe,23,FW,1557,52.9,,ESP-La Liga,2324
891,Munir El Haddadi,Las Palmas,28,"AM(CLR),FW",2471,80.4,,ESP-La Liga,2324
892,Manu Morlanes,Mallorca,25,DMC,1611,84.8,,ESP-La Liga,2324
893,Memphis Depay,Atletico,30,"AM(CL),FW",892,76.1,,ESP-La Liga,2324
894,Iza Carcelén,Cadiz,31,D(R),2609,74.4,,ESP-La Liga,2324
895,Beñat Turrientes,Real Sociedad,22,M(C),1692,87.2,,ESP-La Liga,2324
896,Fran Pérez,Valencia,21,AM(R),2070,80,,ESP-La Liga,2324
897,Imanol García de Albéniz,Athletic Club,24,D(L),520,83.5,,ESP-La Liga,2324
898,Johan Mojica,Osasuna,31,"D(L),M(L)",2041,77,,ESP-La Liga,2324
899,Kiko Femenía,Villarreal,33,"D(LR),M(R)",1581,85.3,,ESP-La Liga,2324
900,Kamil Józwiak,Granada,26,AM(CLR),573,73.1,,ESP-La Liga,2324
901,Umar Sadiq,Real Sociedad,27,FW,1078,71.1,,ESP-La Liga,2324
902,Alejandro Catena,Osasuna,29,D(C),2536,81.9,,ESP-La Liga,2324
903,Srdjan Babic,Almeria,28,D(C),90,93.5,,ESP-La Liga,2324
904,Myrto Uzuni,Granada,29,"AM(LR),FW",2460,78.9,,ESP-La Liga,2324
905,Cenk Özkacar,Valencia,23,D(CL),1596,81.7,,ESP-La Liga,2324
906,Álex Centelles,Almeria,24,D(L),980,76.3,,ESP-La Liga,2324
907,Carlos Domínguez,Celta Vigo,23,D(C),1586,79.2,,ESP-La Liga,2324
908,Alberto Moreno,Villarreal,31,"D(L),M(L)",1490,83.5,,ESP-La Liga,2324
909,Pejiño,Las Palmas,27,Midfielder,501,80.6,,ESP-La Liga,2324
910,Facundo Pellistri,Granada,22,AM(R),1221,75.6,,ESP-La Liga,2324
911,Eric Bailly,Villarreal,30,D(CR),839,88,,ESP-La Liga,2324
912,Yarek Gasiorowski,Valencia,19,Defender,733,74.8,,ESP-La Liga,2324
913,Lucas Pires,Cadiz,23,D(L),1529,77.7,,ESP-La Liga,2324
914,Djené Dakonam,Getafe,32,"D(CR),DMC",2494,78.6,,ESP-La Liga,2324
915,Óliver Torres,Sevilla,29,M(CLR),1624,83.8,,ESP-La Liga,2324
916,Toni Lato,Mallorca,26,"D(L),M(L)",1545,77.5,,ESP-La Liga,2324
917,César Montes,Almeria,27,D(C),1792,77.7,,ESP-La Liga,2324
918,Largie Ramazani,Almeria,23,"AM(L),FW",1561,64.4,,ESP-La Liga,2324
919,Andrés Guardado,Real Betis,37,"D(L),M(CL)",443,87,,ESP-La Liga,2324
920,Óscar Rodríguez,Getafe,25,"AM(CLR),FW",965,77.4,,ESP-La Liga,2324
921,Ricardo Visus,Real Betis,23,Defender,166,82,,ESP-La Liga,2324
922,Samu Omorodion,Deportivo Alaves,20,FW,1922,72.5,,ESP-La Liga,2324
923,Assane Diao,Real Betis,18,AM(R),1054,78,,ESP-La Liga,2324
924,Gerard Gumbau,Granada,29,DMC,2685,77.5,,ESP-La Liga,2324
925,Jon Moncayola,Osasuna,26,"D(R),M(CR)",1803,81.6,,ESP-La Liga,2324
926,Darwin Machís,Cadiz,31,AM(LR),785,71.7,,ESP-La Liga,2324
927,Carles Pérez,Celta Vigo,26,"M(CR),FW",771,81.8,,ESP-La Liga,2324
928,Omar Alderete,Getafe,27,D(C),2197,65.1,,ESP-La Liga,2324
929,Abner,Real Betis,24,"D(L),M(L)",1398,81,,ESP-La Liga,2324
930,Roger Martí,Cadiz,33,FW,1369,67.8,,ESP-La Liga,2324
