,player,team,age,position,Mins,Passing Accuracy,,league,season
68,Adam Wharton,Crystal Palace,20,DMC,1305,81.1,,ENG-Premier League,2324
69,Antonee Robinson,Fulham,26,"D(L),M(L)",3269,75.9,,ENG-Premier League,2324
70,Jarrad Branthwaite,Everton,21,D(C),3117,80.1,,ENG-Premier League,2324
71,Gabriel Jesus,Arsenal,27,"AM(LR),FW",1482,81,,ENG-Premier League,2324
72,Gabriel Martinelli,Arsenal,23,"AM(LR),FW",2031,85,,ENG-Premier League,2324
73,Ryan Christie,Bournemouth,29,"M(CLR),FW",2922,79.3,,ENG-Premier League,2324
74,Ivan Toney,Brentford,28,FW,1449,55.7,,ENG-Premier League,2324
75,Darwin Núñez,Liverpool,25,"AM(CL),FW",2050,71.6,,ENG-Premier League,2324
76,Tomás Soucek,West Ham,29,M(C),2876,75.7,,ENG-Premier League,2324
77,Kaoru Mitoma,Brighton,27,M(L),1488,83.4,,ENG-Premier League,2324
78,Ethan Pinnock,Brentford,31,D(C),2521,84,,ENG-Premier League,2324
79,Jean-Philippe Mateta,Crystal Palace,26,FW,2285,73.8,,ENG-Premier League,2324
80,Antoine Semenyo,Bournemouth,24,"AM(LR),FW",2113,74.3,,ENG-Premier League,2324
81,Joachim Andersen,Crystal Palace,28,D(C),3418,79.5,,ENG-Premier League,2324
82,Yoane Wissa,Brentford,27,"AM(L),FW",2509,73.2,,ENG-Premier League,2324
83,Cody Gakpo,Liverpool,25,"AM(CLR),FW",1646,79.3,,ENG-Premier League,2324
84,Harry Maguire,Man Utd,31,D(C),1651,83.4,,ENG-Premier League,2324
85,Cheick Doucouré,Crystal Palace,24,DMC,922,87.2,,ENG-Premier League,2324
86,Marcus Tavernier,Bournemouth,25,M(CLR),2134,79.3,,ENG-Premier League,2324
87,Simon Adingra,Brighton,22,"M(LR),FW",2233,81.1,,ENG-Premier League,2324
88,Mario Lemina,Wolves,30,M(C),2976,86.7,,ENG-Premier League,2324
89,Sergio Reguilón,Brentford,27,"D(L),M(L)",1122,71.8,,ENG-Premier League,2324
90,Moisés Caicedo,Chelsea,22,DMC,2875,90.8,,ENG-Premier League,2324
91,William Saliba,Arsenal,23,D(C),3420,92.6,,ENG-Premier League,2324
92,Vitalii Mykolenko,Everton,25,"D(CL),M(L)",2472,74.9,,ENG-Premier League,2324
93,Jordan Ayew,Crystal Palace,32,"AM(CLR),FW",2551,80.6,,ENG-Premier League,2324
94,Kyle Walker,Man City,34,"D(CR),M(R)",2767,90.4,,ENG-Premier League,2324
95,André Onana,Man Utd,28,GK,3420,70.4,,ENG-Premier League,2324
96,Noni Madueke,Chelsea,22,"AM(R),FW",1057,88.5,,ENG-Premier League,2324
97,James Garner,Everton,23,M(CR),3006,82.8,,ENG-Premier League,2324
98,Ibrahima Konaté,Liverpool,25,D(C),1571,88,,ENG-Premier League,2324
99,Richarlison,Tottenham,27,"AM(CLR),FW",1493,70.9,,ENG-Premier League,2324
100,Rúben Dias,Man City,27,D(C),2558,94.1,,ENG-Premier League,2324
101,Idrissa Gueye,Everton,34,M(C),1896,85.6,,ENG-Premier League,2324
102,Lewis Cook,Bournemouth,27,M(CL),2792,81.2,,ENG-Premier League,2324
103,Martin Dúbravka,Newcastle,35,GK,1984,74.9,,ENG-Premier League,2324
104,Alfie Doughty,Luton,24,"D(L),M(LR)",2938,75.2,,ENG-Premier League,2324
105,Leandro Trossard,Arsenal,29,"M(CLR),FW",1647,78.7,,ENG-Premier League,2324
106,Oliver McBurnie,Sheff Utd,28,"AM(CL),FW",1287,60.3,,ENG-Premier League,2324
107,Jefferson Lerma,Crystal Palace,29,"D(CR),DMC",2404,82.4,,ENG-Premier League,2324
